,award_company,award_type,movie,person,year
222,oscars,best_actress,The Miracle Worker,Anne Bancroft,1962
223,oscars,best_actress,Hud,Patricia Neal,1963
224,oscars,best_actress,Mary Poppins,Julie Andrews,1964
225,oscars,best_actress,Darling,Julie Christie,1965
226,oscars,best_actress,Who's Afraid of Virginia Woolf?,Elizabeth Taylor,1966
227,oscars,best_actress,Guess Who's Coming to Dinner,Katharine Hepburn,1967
228,oscars,best_actress,The Lion in Winter,Katharine Hepburn,1968
229,oscars,best_actress,The Prime of Miss Jean Brodie,Maggie Smith,1969
230,oscars,best_actress,Women in Love,Glenda Jackson,1970
231,oscars,best_actress,Klute,Jane Fonda,1971
232,oscars,best_actress,Cabaret,Liza Minnelli,1972
233,oscars,best_actress,A Touch of Class,Glenda Jackson,1973
234,oscars,best_actress,Alice Doesn't Live Here Anymore,Ellen Burstyn,1974
235,oscars,best_actress,One Flew Over the Cuckoo's Nest,Louise Fletcher,1975
236,oscars,best_actress,Network,Faye Dunaway,1976
237,oscars,best_actress,Annie Hall,Diane Keaton,1977
238,oscars,best_actress,Coming Home,Jane Fonda,1978
239,oscars,best_actress,Norma Rae,Sally Field,1979
240,oscars,best_actress,Coal Miner's Daughter,Sissy Spacek,1980
241,oscars,best_actress,On Golden Pond,Katharine Hepburn,1981
242,oscars,best_actress,Sophie's Choice,Meryl Streep,1982
243,oscars,best_actress,Terms of Endearment,Shirley MacLaine,1983
244,oscars,best_actress,Places in the Heart,Sally Field,1984
245,oscars,best_actress,The Trip to Bountiful,Geraldine Page,1985
246,oscars,best_actress,Children of a Lesser God,Marlee Matlin,1986
247,oscars,best_actress,Moonstruck,Cher,1987
248,oscars,best_actress,The Accused,Jodie Foster,1988
249,oscars,best_actress,Driving Miss Daisy,Jessica Tandy,1989
250,oscars,best_actress,Misery,Kathy Bates,1990
251,oscars,best_actress,The Silence of the Lambs,Jodie Foster,1991
252,oscars,best_actress,Howards End,Emma Thompson,1992
253,oscars,best_actress,The Piano,Holly Hunter,1993
254,oscars,best_actress,Blue Sky,Jessica Lange,1994
255,oscars,best_actress,Dead Man Walking,Susan Sarandon,1995
256,oscars,best_actress,Fargo,Frances McDormand,1996
257,oscars,best_actress,As Good as It Gets,Helen Hunt,1997
258,oscars,best_actress,Shakespeare in Love,Gwyneth Paltrow,1998
259,oscars,best_actress,Boys Don't Cry,Hilary Swank,1999
260,oscars,best_actress,Erin Brockovich,Julia Roberts,2000
261,oscars,best_actress,Monster's Ball,Halle Berry,2001
262,oscars,best_actress,The Hours,Nicole Kidman,2002
263,oscars,best_actress,Monster,Charlize Theron,2003
264,oscars,best_actress,Million Dollar Baby,Hilary Swank,2004
265,oscars,best_actress,Walk the Line,Reese Witherspoon,2005
266,oscars,best_actress,The Queen,Helen Mirren,2006
267,oscars,best_actress,La Vie en Rose,Marion Cotillard,2007
268,oscars,best_actress,The Reader,Kate Winslet,2008
269,oscars,best_actress,The Blind Side,Sandra Bullock,2009
270,oscars,best_actress,Black Swan,Natalie Portman,2010
271,oscars,best_actress,The Iron Lady,Meryl Streep,2011
272,oscars,best_actress,Silver Linings Playbook,Jennifer Lawrence,2012
273,oscars,best_actress,Blue Jasmine,Cate Blanchett,2013
274,oscars,best_actress,Still Alice,Julianne Moore,2014
275,oscars,best_actress,Room,Brie Larson,2015
276,oscars,best_actress,La La Land,Emma Stone,2016
277,oscars,best_actress,"Three Billboards Outside Ebbing, Missouri",Frances McDormand,2017
278,oscars,best_actress,The Favourite,Olivia Colman,2018
279,oscars,best_actress,Judy,Renée Zellweger,2019
280,oscars,best_actress,Nomadland,Frances McDormand,2020/21
281,oscars,best_actress,,,2021
282,golden_globe,best_director,The Song of Bernadette,Henry King,1943
283,golden_globe,best_director,Going My Way,Leo McCarey,1944
284,golden_globe,best_director,The Lost Weekend,Billy Wilder,1945
285,golden_globe,best_director,It's a Wonderful Life,Frank Capra,1946
286,golden_globe,best_director,Gentleman's Agreement,Elia Kazan,1947
287,golden_globe,best_director,The Treasure of the Sierra Madre,John Huston,1948
288,golden_globe,best_director,All the King's Men,Robert Rossen,1949
289,golden_globe,best_director,Sunset Boulevard,Billy Wilder,1950
290,golden_globe,best_director,Death of a Salesman,László Benedek,1951
291,golden_globe,best_director,The Greatest Show on Earth,Cecil B. DeMille,1952
292,golden_globe,best_director,From Here to Eternity,Fred Zinnemann,1953
293,golden_globe,best_director,On the Waterfront,Elia Kazan,1954
294,golden_globe,best_director,Picnic,Joshua Logan,1955
295,golden_globe,best_director,Baby Doll,Elia Kazan,1956
296,golden_globe,best_director,The Bridge on the River Kwai,David Lean,1957
297,golden_globe,best_director,Gigi,Vincente Minnelli,1958
298,golden_globe,best_director,Ben-Hur,William Wyler,1959
299,golden_globe,best_director,Sons and Lovers,Jack Cardiff,1960
300,golden_globe,best_director,Judgment at Nuremberg,Stanley Kramer,1961
301,golden_globe,best_director,Lawrence of Arabia,David Lean,1962
302,golden_globe,best_director,America America,Elia Kazan,1963
303,golden_globe,best_director,My Fair Lady,George Cukor,1964
304,golden_globe,best_director,Doctor Zhivago,David Lean,1965
305,golden_globe,best_director,A Man for All Seasons,Fred Zinnemann,1966
306,golden_globe,best_director,The Graduate,Mike Nichols,1967
307,golden_globe,best_director,"Rachel, Rachel",Paul Newman,1968
308,golden_globe,best_director,Anne of the Thousand Days,Charles Jarrott,1969
309,golden_globe,best_director,Love Story,Arthur Hiller,1970
310,golden_globe,best_director,The French Connection,William Friedkin,1971
311,golden_globe,best_director,The Godfather,Francis Ford Coppola,1972
312,golden_globe,best_director,The Exorcist,William Friedkin,1973
313,golden_globe,best_director,Chinatown,Roman Polanski,1974
314,golden_globe,best_director,One Flew Over the Cuckoo's Nest,Miloš Forman,1975
315,golden_globe,best_director,Network,Sidney Lumet,1976
316,golden_globe,best_director,The Turning Point,Herbert Ross,1977
317,golden_globe,best_director,The Deer Hunter,Michael Cimino,1978
318,golden_globe,best_director,Apocalypse Now,Francis Ford Coppola,1979
319,golden_globe,best_director,Ordinary People,Robert Redford,1980
320,golden_globe,best_director,Reds,Warren Beatty,1981
321,golden_globe,best_director,Gandhi,Richard Attenborough,1982
322,golden_globe,best_director,Yentl,Barbra Streisand,1983
323,golden_globe,best_director,Amadeus,Miloš Forman,1984
324,golden_globe,best_director,Prizzi's Honor,John Huston,1985
325,golden_globe,best_director,Platoon,Oliver Stone,1986
326,golden_globe,best_director,The Last Emperor,Bernardo Bertolucci,1987
327,golden_globe,best_director,Bird,Clint Eastwood,1988
328,golden_globe,best_director,Born on the Fourth of July,Oliver Stone,1989
329,golden_globe,best_director,Dances with Wolves,Kevin Costner,1990
330,golden_globe,best_director,JFK,Oliver Stone,1991
331,golden_globe,best_director,Unforgiven,Clint Eastwood,1992
332,golden_globe,best_director,Schindler's List,Steven Spielberg,1993
333,golden_globe,best_director,Forrest Gump,Robert Zemeckis,1994
334,golden_globe,best_director,Braveheart,Mel Gibson,1995
335,golden_globe,best_director,The People vs. Larry Flynt,Miloš Forman,1996
336,golden_globe,best_director,Titanic,James Cameron,1997
337,golden_globe,best_director,Saving Private Ryan,Steven Spielberg,1998
338,golden_globe,best_director,American Beauty,Sam Mendes,1999
339,golden_globe,best_director,"Crouching Tiger, Hidden Dragon",Ang Lee,2000
340,golden_globe,best_director,Gosford Park,Robert Altman,2001
341,golden_globe,best_director,Gangs of New York,Martin Scorsese,2002
342,golden_globe,best_director,The Lord of the Rings: The Return of the King,Peter Jackson,2003
343,golden_globe,best_director,Million Dollar Baby,Clint Eastwood,2004
344,golden_globe,best_director,Brokeback Mountain,Ang Lee,2005
345,golden_globe,best_director,The Departed,Martin Scorsese,2006
346,golden_globe,best_director,The Diving Bell and the Butterfly,Julian Schnabel,2007
347,golden_globe,best_director,Slumdog Millionaire,Danny Boyle,2008
348,golden_globe,best_director,Avatar,James Cameron,2009
349,golden_globe,best_director,The Social Network,David Fincher,2010
350,golden_globe,best_director,Hugo,Martin Scorsese,2011
351,golden_globe,best_director,Argo,Ben Affleck,2012
352,golden_globe,best_director,Gravity,Alfonso Cuarón,2013
353,golden_globe,best_director,Boyhood,Richard Linklater,2014
354,golden_globe,best_director,The Revenant,Alejandro González Iñárritu,2015
355,golden_globe,best_director,La La Land,Damien Chazelle,2016
356,golden_globe,best_director,The Shape of Water,Guillermo del Toro,2017
357,golden_globe,best_director,Roma,Alfonso Cuarón,2018
358,golden_globe,best_director,1917,Sam Mendes,2019
359,golden_globe,best_director,Nomadland,Chloé Zhao,2020
360,golden_globe,best_director,The Power of the Dog,Jane Campion,2021
361,golden_globe,best_actor,Watch on the Rhine,Paul Lukas,1943
362,golden_globe,best_actor,Wilson,Alexander Knox,1944
363,golden_globe,best_actor,The Lost Weekend,Ray Milland,1945
364,golden_globe,best_actor,The Yearling,Gregory Peck,1946
