,award_company,award_type,movie,person,year
1367,oscars,best_picture,Guess Who's Coming to Dinner,,1967
1368,oscars,best_picture,Oliver!,,1968
1369,oscars,best_picture,Funny Girl,,1968
1370,oscars,best_picture,The Lion in Winter,,1968
1371,oscars,best_picture,"Rachel, Rachel",,1968
1372,oscars,best_picture,Romeo and Juliet,,1968
1373,oscars,best_picture,Midnight Cowboy,,1969
1374,oscars,best_picture,Anne of the Thousand Days,,1969
1375,oscars,best_picture,Butch Cassidy and the Sundance Kid,,1969
1376,oscars,best_picture,"Hello, Dolly!",,1969
1377,oscars,best_picture,Z,,1969
1378,oscars,best_picture,Patton,,1970
1379,oscars,best_picture,Airport,,1970
1380,oscars,best_picture,Five Easy Pieces,,1970
1381,oscars,best_picture,Love Story,,1970
1382,oscars,best_picture,M*A*S*H,,1970
1383,oscars,best_picture,The French Connection,,1971
1384,oscars,best_picture,A Clockwork Orange,,1971
1385,oscars,best_picture,Fiddler on the Roof,,1971
1386,oscars,best_picture,The Last Picture Show,,1971
1387,oscars,best_picture,Nicholas and Alexandra,,1971
1388,oscars,best_picture,The Godfather,,1972
1389,oscars,best_picture,Cabaret,,1972
1390,oscars,best_picture,Deliverance,,1972
1391,oscars,best_picture,The Emigrants,,1972
1392,oscars,best_picture,Sounder,,1972
1393,oscars,best_picture,The Sting,,1973
1394,oscars,best_picture,American Graffiti,,1973
1395,oscars,best_picture,Cries and Whispers,,1973
1396,oscars,best_picture,The Exorcist,,1973
1397,oscars,best_picture,A Touch of Class,,1973
1398,oscars,best_picture,The Godfather Part II,,1974
1399,oscars,best_picture,Chinatown,,1974
1400,oscars,best_picture,The Conversation,,1974
1401,oscars,best_picture,Lenny,,1974
1402,oscars,best_picture,The Towering Inferno,,1974
1403,oscars,best_picture,One Flew Over the Cuckoo's Nest,,1975
1404,oscars,best_picture,Barry Lyndon,,1975
1405,oscars,best_picture,Dog Day Afternoon,,1975
1406,oscars,best_picture,Jaws,,1975
1407,oscars,best_picture,Nashville,,1975
1408,oscars,best_picture,Rocky,,1976
1409,oscars,best_picture,All the President's Men,,1976
1410,oscars,best_picture,Bound for Glory,,1976
1411,oscars,best_picture,Network,,1976
1412,oscars,best_picture,Taxi Driver,,1976
1413,oscars,best_picture,Annie Hall,,1977
1414,oscars,best_picture,The Goodbye Girl,,1977
1415,oscars,best_picture,Julia,,1977
1416,oscars,best_picture,Star Wars,,1977
1417,oscars,best_picture,The Turning Point,,1977
1418,oscars,best_picture,The Deer Hunter,,1978
1419,oscars,best_picture,Coming Home,,1978
1420,oscars,best_picture,Heaven Can Wait,,1978
1421,oscars,best_picture,Midnight Express,,1978
1422,oscars,best_picture,An Unmarried Woman,,1978
1423,oscars,best_picture,Kramer vs. Kramer,,1979
1424,oscars,best_picture,All That Jazz,,1979
1425,oscars,best_picture,Apocalypse Now,,1979
1426,oscars,best_picture,Breaking Away,,1979
1427,oscars,best_picture,Norma Rae,,1979
1428,oscars,best_picture,Ordinary People,,1980
1429,oscars,best_picture,Coal Miner's Daughter,,1980
1430,oscars,best_picture,The Elephant Man,,1980
1431,oscars,best_picture,Raging Bull,,1980
1432,oscars,best_picture,Tess,,1980
1433,oscars,best_picture,Chariots of Fire,,1981
1434,oscars,best_picture,Atlantic City,,1981
1435,oscars,best_picture,On Golden Pond,,1981
1436,oscars,best_picture,Raiders of the Lost Ark,,1981
1437,oscars,best_picture,Reds,,1981
1438,oscars,best_picture,Gandhi,,1982
1439,oscars,best_picture,E.T. the Extra-Terrestrial,,1982
1440,oscars,best_picture,Missing,,1982
1441,oscars,best_picture,Tootsie,,1982
1442,oscars,best_picture,The Verdict,,1982
1443,oscars,best_picture,Terms of Endearment,,1983
1444,oscars,best_picture,The Big Chill,,1983
1445,oscars,best_picture,The Dresser,,1983
1446,oscars,best_picture,The Right Stuff,,1983
1447,oscars,best_picture,Tender Mercies,,1983
1448,oscars,best_picture,Amadeus,,1984
1449,oscars,best_picture,The Killing Fields,,1984
1450,oscars,best_picture,A Passage to India,,1984
1451,oscars,best_picture,Places in the Heart,,1984
1452,oscars,best_picture,A Soldier's Story,,1984
1453,oscars,best_picture,Out of Africa,,1985
1454,oscars,best_picture,The Color Purple,,1985
1455,oscars,best_picture,Kiss of the Spider Woman,,1985
1456,oscars,best_picture,Prizzi's Honor,,1985
1457,oscars,best_picture,Witness,,1985
1458,oscars,best_picture,Platoon,,1986
1459,oscars,best_picture,Children of a Lesser God,,1986
